Date,Max TemperatureC,Min TemperatureC
2018-04-24,17,8
2018-04-23,16,10
2018-04-22,24,13
2018-04-21,27,18
2018-04-20,28,15
2018-04-19,27,13
2018-04-18,24,11
2018-04-17,21,8
2018-04-16,22,6
2018-04-15,18,5
2018-04-14,16,7
2018-04-13,15,9
2018-04-12,18,13
2018-04-11,20,10
2018-04-10,28,14
2018-04-09,24,12
2018-04-08,20,8
2018-04-07,12,5
2018-04-06,14,3
2018-04-05,10,5
2018-04-04,11,7
2018-04-03,25,8
2018-04-02,27,16
2018-04-01,25,15
2018-03-31,22,11
2018-03-30,20,8
2018-03-29,20,8
2018-03-28,26,13
2018-03-27,24,12
2018-03-26,22,11
