Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd]
2014;01;01;00;00;5.85;10.66;1.23
2014;01;02;00;00;8.17;11.86;4.93
2014;01;03;00;00;7.55;12.04;2.68
2014;01;04;00;00;6.12;8.75;3.79
2014;01;05;00;00;5.51;8.42;2.61
2014;01;06;00;00;5.55;12.70;0.64
2014;01;07;00;00;10.99;14.36;8.92
2014;01;08;00;00;10.58;13.70;8.06
2014;01;09;00;00;9.60;15.25;5.10
2014;01;10;00;00;7.95;10.58;5.31
2014;01;11;00;00;7.53;12.47;3.84
2014;01;12;00;00;6.45;9.19;3.18
2014;01;13;00;00;3.80;7.46;0.23
2014;01;14;00;00;6.19;8.91;4.24
2014;01;15;00;00;4.22;8.68;0.08
2014;01;16;00;00;6.95;10.76;4.58
2014;01;17;00;00;6.80;10.55;3.51
2014;01;18;00;00;5.20;10.16;1.17
2014;01;19;00;00;5.62;9.07;2.88
2014;01;20;00;00;5.13;7.14;3.58
2014;01;21;00;00;4.90;7.62;3.28
2014;01;22;00;00;4.04;8.55;1.18
2014;01;23;00;00;4.60;8.13;1.46
2014;01;24;00;00;3.46;5.34;1.25
2014;01;25;00;00;2.35;6.93;-1.35
2014;01;26;00;00;5.27;8.97;2.89
2014;01;27;00;00;5.21;8.08;2.17
2014;01;28;00;00;3.63;7.47;-0.19
2014;01;29;00;00;2.92;8.42;-1.44
2014;01;30;00;00;3.44;6.36;0.47
2014;01;31;00;00;3.95;7.30;1.49
2014;02;01;00;00;4.18;10.96;-0.95
2014;02;02;00;00;5.71;7.65;3.38
2014;02;03;00;00;5.66;10.60;1.45
2014;02;04;00;00;6.71;10.83;3.72
2014;02;05;00;00;4.10;8.07;1.08
2014;02;06;00;00;7.94;11.88;4.14
2014;02;07;00;00;6.69;10.04;3.23
2014;02;08;00;00;6.08;9.29;3.27
2014;02;09;00;00;6.53;8.85;4.29
2014;02;10;00;00;5.86;11.42;0.92
2014;02;11;00;00;5.93;9.90;3.10
2014;02;12;00;00;6.01;10.54;3.30
2014;02;13;00;00;7.24;10.72;4.18
2014;02;14;00;00;6.65;11.56;0.05
2014;02;15;00;00;9.47;11.35;6.80
2014;02;16;00;00;7.60;10.55;5.25
2014;02;17;00;00;6.71;11.35;3.37
2014;02;18;00;00;6.93;15.02;-0.04
2014;02;19;00;00;8.75;11.59;7.05
